league,season,group_role,group_id,players,total_war,avg_war,total_pa_bf,avg_age,league_total_war,league_avg_war,league_avg_age,war_share,age_diff,src_league
MLB,2024,org,ARI,51,,,17226.0,,,,,,,MLB
MLB,2024,org,ATL,33,,,11446.0,,,,,,,MLB
MLB,2024,org,BAL,39,,,12599.0,,,,,,,MLB
MLB,2024,org,BOS,42,,,13425.0,,,,,,,MLB
MLB,2024,org,CHC,39,,,12684.0,,,,,,,MLB
MLB,2024,org,CHW,45,,,13750.0,,,,,,,MLB
MLB,2024,org,CIN,50,,,13642.0,,,,,,,MLB
MLB,2024,org,CLE,59,,,14818.0,,,,,,,MLB
MLB,2024,org,COL,58,,,15347.0,,,,,,,MLB
MLB,2024,org,DET,53,,,15194.0,,,,,,,MLB
MLB,2024,org,HOU,43,,,11075.0,,,,,,,MLB
MLB,2024,org,KCR,51,,,16017.0,,,,,,,MLB
MLB,2024,org,LAA,45,,,14202.0,,,,,,,MLB
MLB,2024,org,LAD,46,,,15700.0,,,,,,,MLB
MLB,2024,org,MIA,45,,,14222.0,,,,,,,MLB
MLB,2024,org,MIL,48,,,15402.0,,,,,,,MLB
MLB,2024,org,MIN,35,,,10848.0,,,,,,,MLB
MLB,2024,org,NYM,54,,,14374.0,,,,,,,MLB
MLB,2024,org,NYY,51,,,13428.0,,,,,,,MLB
MLB,2024,org,OAK,37,,,13297.0,,,,,,,MLB
MLB,2024,org,PHI,40,,,10676.0,,,,,,,MLB
MLB,2024,org,PIT,38,,,12113.0,,,,,,,MLB
MLB,2024,org,SDP,50,,,15022.0,,,,,,,MLB
MLB,2024,org,SEA,52,,,16117.0,,,,,,,MLB
MLB,2024,org,SFG,48,,,11762.0,,,,,,,MLB
MLB,2024,org,STL,54,,,13627.0,,,,,,,MLB
MLB,2024,org,TBR,68,,,16954.0,,,,,,,MLB
MLB,2024,org,TEX,47,,,14431.0,,,,,,,MLB
MLB,2024,org,TOR,37,,,11912.0,,,,,,,MLB
MLB,2024,org,WSN,42,,,10919.0,,,,,,,MLB
